ID_investigadores,grado_rec,categoria,institucion_estudio,pais_rec,ofos4,ofos1_rec,ambito_trabajo,institución_trabaja,cargo,unidad1,unidad2,ciudad_trabaja,ciudad_trabaja_rec,region_trabaja,numero_publicaciones,numero_publicaciones_wos,Citaciones,impacto_autor,ofos_1
9991,Ingeniero Civil,1,,#N/A,Civil Engineering,3,3,Ministerio de Obras Públicas,Jefe de División de Estudio y Planificación,Dirección General de Aguas,#s.i.,Santiago,1,14,,,,,
10003,"Diplomado en Gestión Ambiental,Licenciado en Biología,Diplomado en Planificación para la Conservación","2,1,2","Universidad de Chile,Universidad de Chile,Tecnológico de Monterrey","ch,ch,me","Environmental Engineering,Biology,Other Natural Sciences","3,4,4",3,Ministerio de Medio Ambiente,Jefe de División,División de Recursos Naturales y Biodiversidad,#s.i.,Santiago,1,14,,,,,
10004,"Diplomado de Economía,Diplomado en Derecho de Recursos Naturales,Abogado,Máster en Derecho","2,2,1,3","Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,The American University","ch,ch,ch,usa","Economics,Law,Law,Law","2,2,2,2",2,Derecho e Ingeniería del Agua Consultores,Abogado,#s.i.,#s.i.,Santiago,1,14,,,,,
10024,Diseñador Industrial,1,Pontificia Universidad Católica de Valparaíso,ch,Materials Engineering,3,2,Advanced Innovation Center,Gerente,#s.i.,#s.i.,Concón,2,5,,,,,
10030,"Doctor en Ingeniería de Sistemas Complejos,Ingeniero Civil,Máster en Administración y Negocios","4,1,3","Universidad Adolfo Ibáñez,Universidad de Concepción,Universidad de Chile","ch,ch,ch","Mathematics,Civil Engineering,Economics","4,3,2",2,Corporación Nacional del Cobre,Director de Recursos Hídricos,#s.i.,#s.i.,Santiago,1,14,,,,,
10045,Ingeniero Civil,1,,#N/A,Civil Engineering,3,3,Ministerio de Obras Públicas,Jefe de Gestión,Dirección General de Aguas,Departamento de Estudios y Planificación de Recursos Hídricos,Santiago,1,14,,,,,
10046,Economista: mención Relaciones Económicas Internacionales,1,Universidad de Finanzas de Moscú,ru,Economics,2,4,Centro de Estudios para América Latina,Oficial para Asuntos Económicos,División de Recursos Naturales e Infraestructura,#s.i.,Santiago,1,14,,,,,
10047,Ingeniero Civil,1,Universidad de Santiago de Chile,ch,Civil Engineering,3,3,Ministerio de Obras Públicas,Director Regional de Obras Hidráulicas,Dirección de Obras Hidráulicas,#s.i.,Santiago,1,14,,,,,
10052,Ingeniero Civil,1,,#N/A,Civil Engineering,3,2,DSS Ambiente Ingeniería y Sistemas Ambientales,Director,#s.i.,#s.i.,Santiago,1,14,,,,,
10068,"Máster en Ciencias: mención Gestión de Cuencas,Ingeniero Civil Agrícola,Doctor en Ingeniería de Sistemas de Recursos Hídricos","3,1,4","Colorado State University,Universidad Nacional Agraria La Molina,Colorado State University","usa,pe,usa","Hydrology,Cultivation of Land, Horticulture,Hydrology","4,1,4",4,Fundación Chile,Consultor senior,Área Recursos Hídricos e Innovación,#s.i.,Santiago,1,14,,,,,
10070,Geóloga,1,Universidad de Chile,ch,"Geology, Mineralogy",4,2,ICASS Consultoría en Recursos Hídricos,Profesional,#s.i.,#s.i.,Santiago,1,14,,,,,
10074,"Diplomado en Energías Renovables no Convencionales,Ingeniero Civil Hidráulico,Máster en Hidrología Subterránea","2,1,3","Universidad de Chile,Universidad Católica del Norte,Universidad Politécnica de Cataluña","ch,ch,es","Agriculture and Forestry,Civil Engineering,Hydrology","1,3,4",2,ICASS Consultoría en Recursos Hídricos,Gerente General,#s.i.,#s.i.,Santiago,1,14,,,,,
10080,"Diplomado de Ecología, Desarrollo Sostenible y Gestión Ambiental,Diplomado en Estudios de Sostenibilidad,Postítulo en Derechos Humanos Internacionales,Postítulo en Ley de Acuíferos Transfronterizos,Postítulo en Ley de Agua Internacional,Postítulo en Seguridad del Agua,Licenciado en Relaciones Internacionales,Máster en Cambio Ambiental y Gestión","2,2,5,5,5,5,1,3","Universidad Iberoamericana,Universidad Iberoamericana,University for Peace, Human Rights Centre,University of Geneva,University of Geneva,University of East Anglia,Universidad Iberoamericana,University of Oxford",#N/A,"Economics,Economics,Law,Law,Law,Cultivation of Land, Horticulture,Political Sciences,Environmental Engineering","2,2,2,2,2,1,2,3",4,Centro de Estudios para América Latina,Oficial de Asuntos Económicos,División de Recursos Naturales e Infraestructura,#s.i.,Santiago,1,14,,,,,
10082,Ingeniero Civil,1,Universidad de Santiago de Chile,ch,Civil Engineering,3,3,Ministerio de Obras Públicas,Director,Dirección de Planeamiento,#s.i.,Santiago,1,14,,,,,
10083,Ingeniero Civil Hidráulico: mención Evaluación y Gestión de Proyectos,1,Universidad de Chile,ch,Civil Engineering,3,2,Estudios y Proyectos Enerxia,Gerente de Proyectos,#s.i.,#s.i.,Santiago,1,14,,,,,
10085,Abogado,1,Universidad de Chile,ch,Law,2,2,Derecho e Ingeniería del Agua Consultores,Abogado,#s.i.,#s.i.,Santiago,1,14,,,,,
10086,"Diplomado en Manejo de Residuos Sólidos,Diplomado en Gestión de Empresas Sanitarias,Ingeniero Civil,Diplomado en Geoinformación","2,2,1,2",,#N/A,"Environmental Engineering,Health Sciences,Civil Engineering,Geodesy, surveying","3,5,3,3",2,Aguas Andinas,Jefe de Área,Proyectos Especiales,#s.i.,Santiago,1,14,,,,,
10090,"Abogado,Postgrado en sociología política","1,5","Universidad de Chile,Universidad Complutense de Madrid","ch,es","Law,Sociology","2,2",3,Ministerio de Obras Públicas,Director,Dirección General de Aguas,#s.i.,Santiago,1,14,,,,,
10091,Ingeniero Constructor,1,Universidad Tecnológica Metropolitana,ch,Civil Engineering,3,3,Ministerio de Obras Públicas,Director Regional,Dirección General de Aguas,#s.i.,Santiago,1,14,,,,,
10093,"Ingeniero Mecánico,Máster en Administración de Empresas","1,3","Universidad Técnica Federico Santa María,Universidad Adolfo Ibáñez","ch,ch","Mechanical Engineering,Economics","3,2",2,SEHI - Sustentabilidad y Energía,Gerente de Ingeniería,#s.i.,#s.i.,Santiago,1,14,,,,,
10099,Geólogo,1,Universidad de Chile,ch,"Geology, Mineralogy",4,2,CPH Consultores,Gerente General,#s.i.,#s.i.,Santiago,1,14,,,,,
10116,"Geólogo,Doctor en Glaciología","1,4","Universidad de Chile,Ohio State University","ch,usa","Geology, Mineralogy,Interdisciplinary Geosciences not elsewhere classified","4,4",2,Geoestudios,Consultor,#s.i.,#s.i.,Santiago,1,14,,,,,
10138,Ingeniero Hidráulico,1,,#N/A,Civil Engineering,3,2,Empresa Nacional de Electricidad,Ingeniero de Especialidad Hidráulica,#s.i.,#s.i.,Santiago,1,14,,,,,
10140,"Ingeniero Civil Industrial ,Máster en Administración de Empresas","1,3","Universidad de Chile,New York University","ch,usa","--,Economics","3,2",2,Tribeca Advisors,Director,#s.i.,#s.i.,Santiago,1,14,,,,,
10141,Ingeniero Civil Electricista,1,Universidad de Chile,ch,"Electrical Engineering, Electronics, Information Engineering",3,2,Centro de Despacho Económico de Carga Sistema Interconectado Central,Presidente del Directorio,#s.i.,#s.i.,Santiago,1,14,,,,,
10145,"Ingeniero Industrial Eléctrico ,Master en Ingeniería Industrial","1,3","Pontificia Universidad Católica de Chile,Stanford University","ch,usa","Electrical Engineering, Electronics, Information Engineering,--","3,3",2,Asociación Gremial de Generadores de Chile,Vicepresidente Ejecutivo,#s.i.,#s.i.,Santiago,1,14,,,,,
10148,"Ingeniero Civil, Ingeniero Agrícola,Máster en Gerencia y Gestión Pública","1,1,3","Universidad de Concepción,Universidad de Concepción,Universidad de Talca","ch,ch,ch","Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Political Science","1,1,2",3,Ministerio de Agricultura,Coordinador Regional,Comisión Nacional de Riego,#s.i.,Chillán,3,14,,,,,
10152,Ingeniero Civil Industrial,1,Pontificia Universidad Católica de Chile,ch,--,3,4,Corporación Regional de Desarrollo Productivo de Coquimbo,Director,Eje de Recursos Hídricos,#s.i.,La Serena,4,4,,,,,
10158,"Ingeniero Civil,Diplomado en Ingeniería Hidráulica","1,2","Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile","ch,ch","Civil Engineering,Civil Engineering","3,3",4,Cooperativa de Servicios de Riego del Centro,Presidente,#s.i.,#s.i.,Talca,5,7,,,,,
10162,Ingeniero en Computación e Informática,1,Universidad del Mar,ch,Computer Sciences,4,4,Junta de Vigilancia del Río Elqui,Gerente,#s.i.,#s.i.,La Serena,4,4,,,,,
10163,"Ingeniero Civil: mención Hidráulica y Estructuras,Máster en Admininistración de Empresas","1,3","Universidad de Chile,Universidad Politécnica de Madrid","ch,es","Civil Engineering,Economics","3,2",2,Rhodos,Gerente General,#s.i.,#s.i.,Santiago,1,14,,,,,
10170,"Diploma en Hidrogeología,Geólogo,Doctor en Ciencias: mención Geología","2,1,4","Fundación Centro Internacional de Hidrología Subterránea, Barcelona,Universidad de Concepción,Universidad Católica del Norte","es,ch,ch","Hydrology,Geology, Mineralogy,Geology, Mineralogy","4,4,4",2,SGA Gestión Ambiental,Jefa de proyectos,Recursos Hídricos,#s.i.,Santiago,1,14,,,,,
10173,"Ingeniero en Ejecución: mención Mecánica de Procesos y Mantenimiento Industrial,Ingeniero Civil","1,1","Universidad Técnica Federico Santa María,Universidad Técnica Federico Santa María","ch,ch","Mechanical Engineering,Civil Engineering","3,3",2,Empresa Sanitaria de Valparaíso,Analista,Área medición de agua potable de grandes consumidores,#s.i.,Valparaíso,6,5,,,,,
10189,"Ingeniero Civil,Máster en Administración de Negocios","1,3","Universidad de Chile,Universidad de Chile","ch,ch","Civil Engineering,Economics","3,2",2,Empresa de Servicios Sanitarios del Bío Bío,Gerente General,Acción Responsabilidad Social Empresarial,#s.i.,Concepción,7,8,,,,,
10213,Abogado,1,Universidad de Chile,ch,Law,2,3,Ministerio de Obras Públicas,Jefe de Unidad,Dirección General de Aguas,Unidad de Organizaciones de Usuarios y Eficiencia Hídrica,Santiago,1,14,,,,,
10214,"Ingeniero Civil,Máster en Ciencias","1,3",,#N/A,"Civil Engineering,--","3,4",2,CONIC-BF Ingenieros Civiles Consultores,Consultor senior,#s.i.,#s.i.,Santiago,1,14,,,,,
10218,"Hidrogeólogo,Ingeniero Civil: mención Hidráulica","1,1",Pontificia Universidad Católica de Chile,ch,"Hydrology,Civil Engineering","4,3",2,Hidrogestión,Gerente General,#s.i.,#s.i.,Santiago,1,14,,,,,
10222,Químico Farmacéutico,1,Universidad de Chile,ch,Chemistry,4,3,Ministerio de Energía,Jefe de Laboratorio,Comisión Chilena de Energía Nuclear,Laboratorio de Isótopos Ambientales,Santiago,1,14,,,,,
10229,"Ingeniero Civil: mención Hidráulica, Sanitaria y Ambiental,Diplomado en Ingeniería Marítima","1,2","Universidad de Chile,Universidad de Valparaiso","ch,ch","Civil Engineering,Civil Engineering","3,3",2,JRI Ingeniería,Ingeniero de Proyectos,#s.i.,#s.i.,Santiago,1,14,,,,,
10243,Abogado,1,Pontificia Universidad Católica de Chile,ch,Law,2,2,H2o Abogados,Socio,#s.i.,#s.i.,Santiago,1,14,,,,,
10248,Ingeniero Civil Hidráulico,1,Universidad de Concepción,ch,Civil Engineering,3,3,Ministerio de Obras Públicas,Ingeniero de Proyectos,Dirección General de Aguas,Departamento de Administración de Recursos Hídricos,Santiago,1,14,,,,,
10256,"Diploma de Estudios Avanzados en Agronomía,Ingeniero Agrónomo: mención Ingeniería y Suelos, Riego y Drenaje,Doctor en Ingeniería","2,1,4","Escuela Nacional Superior Agronómica de Montpellier,Universidad de Chile,Escuela Nacional Superior Agronómica de Montpellier","fr,ch,fr","Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Civil Engineering","1,1,3",3,Ministerio de Agricultura,Coordinador,Instituto de Investigaciones Agropecuarias,Fruticultura/Horticultura,Santiago,1,14,,,,,
10259,Ingeniero Civil,1,Universidad de Chile,ch,Civil Engineering,3,2,Ifarle Ingenieros Civiles Consultores,Gerente de planificación y estudios,#s.i.,#s.i.,Santiago,1,14,,,,,
10278,Abogado,1,Universidad de Chile,ch,Law,2,2,Aguas Andinas,Presidente,#s.i.,#s.i.,Santiago,1,14,,,,,
10284,"Ingeniero Civil Hidráulico, Sanitario y Ambiental,Máster en Ciencias: mención en Recursos y Medio Ambiente Hídrico","1,3","Universidad de Chile,Universidad de Chile","ch,ch","Civil Engineering,Hydrology","3,4",2,Atiaia Energía Chile,Gerente de Proyectos,#s.i.,#s.i.,Santiago,1,14,,,,,
10291,Geólogo,1,Universidad Nacional de Catamarca,ar,"Geology, Mineralogy",4,2,Golder Associates,Hidrogeólogo de Terreno,#s.i.,#s.i.,Santiago,1,14,,,,,
10297,Ingeniero Civil Hidráulico,1,Universidad de Chile,ch,Civil Engineering,3,2,Arcadis,Gerente,Infraestructura y Energía,#s.i.,Santiago,1,14,,,,,
10301,Ingeniero Civil Hidráulico,1,Pontificia Universidad Católica de Chile,ch,Civil Engineering,3,2,Derecho e Ingeniería del Agua Consultores,Consultor,#s.i.,#s.i.,Santiago,1,14,,,,,
10310,"Ingeniero Civil en Minas,Master de Ingeniería en Geoestadística minera","1,3","Universidad de Santiago de Chile,Escuela de Minas de ParisTech","ch,fr","Mining, Petroleum Engineering,Mathematics","3,4",2,JRI Ingeniería,Gerente de Operaciones,#s.i.,#s.i.,Santiago,1,14,,,,,
10318,"Postgrado en Hidrología General y Aplicada,Ingeniero Civil,Postgrado en Gestión de Empresas","5,1,5","#s.i.,Universidad de Chile,Universidad de Chile","es,ch,ch","Hydrology,Civil Engineering,Economics","4,3,2",2,Derecho e Ingeniería del Agua Consultores,Consultor,#s.i.,#s.i.,Santiago,1,14,,,,,
10321,"Máster en Gestión y Políticas Públicas,Diplomado en Gestión del Agua y el Ambiente,Ingeniero Civil Industrial,Diplomado en Gerencia Pública","3,2,1,2","Universidad de Chile,Universidad de Chile,Pontificia Universidad Católica de Chile,Universidad de Chile","ch,ch,ch,ch","Political Science,Environmental Engineering,--,Political Science","2,3,3,2",3,Ministerio de Agricultura,Asesor División,Comisión Nacional de Riego,"División de Estudios, Desarrollo y Políticas",Santiago,1,14,,,,,
10326,"Máster en Ciencias,Ingeniero Civil Estructural,Doctor en Geotécnica","3,1,4","Rensselaer Polytechnic Institute,Universidad de Chile,Rensselaer Polytechnic Institute","usa,ch,usa","--,Civil Engineering,Engineering Geology, Geotechnics","4,3,3",2,"Caracterización y Modelamiento Geotécnico, CMGI Ltda.",Ingeniero asociado,#s.i.,#s.i.,Santiago,1,14,,,,,
10327,"Ingeniero Forestal,Máster en Ingeniería en Desarrollo de Productos y Calidad de la Madera","1,3","Universidad Austral de Chile,University of Canterbury","ch,nz","Forestry and Wood Industry,Forestry and Wood Industry","1,1",2,Compañía Manufacturera de Papeles y Cartones,Gerente,Área Tecnología Silvícola,#s.i.,Concepción,7,8,,,,,
10345,"Ingeniero Civil en Biotecnología,Máster en Gestión Empresarial","1,3","Universidad San Sebastián,Universidad Técnica Federico Santa María","ch,ch","Environmental Biotechnology,Economics","3,2",2,Empresa de Servicios Sanitarios del Bío Bío,Jefe,Departamento de Desarrollo,#s.i.,Santiago,1,8,,,,,
10346,Ingeniero Civil Hidráulico,1,Universidad de Concepción,ch,Civil Engineering,3,2,Empresa de Servicios Sanitarios del Bío Bío,Especialista,Departamento Recursos Hídricos,#s.i.,Concepción,7,8,,,,,
10349,Ingeniero Agrónomo,1,,#N/A,"Cultivation of Land, Horticulture",1,4,Junta de Vigilancia Río Límari,Presidente,#s.i.,#s.i.,Ovalle,8,4,,,,,
10350,"Geólogo,Máster en Intervención y Gestión del Paisaje","1,3","Universidad Autónoma de Barcelona,Universidad Autónoma de Barcelona","es,es","Geology, Mineralogy,Architecture","4,3",2,Geoestudios,Profesional Geólogo,#s.i.,#s.i.,Santiago,1,14,,,,,
10359,"Ingeniero Civil: mención Hidráulica,Doctor en Ciencias de la Atmósfera","1,4","Universidad de Chile,University of Maryland","ch,usa","Civil Engineering,Meteorology, Climatology","3,4",2,Angloamerican,Consultor,Los Bronces,#s.i.,Santiago,1,14,,,,,
10369,"Ingeniero Civil Hidráulico,Máster en Ingeniería Hidráulica","1,3","Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile","ch,ch","Civil Engineering,Civil Engineering","3,3",2,Bechtel Corporation,Ingeniero Principal,Hidráulica e Hidrología,#s.i.,Santiago,1,14,,,,,
10372,"Diplomado en Estructuras Hidráulicas,Ingeniero Civil,Máster en Ciencias en Ingeniería Hidráulica","2,1,3","Universidad Técnica Federico Santa María,Universidad Técnica Federico Santa María,Delft University of Technology","ch,ch,ho","Civil Engineering,Civil Engineering,Civil Engineering","3,3,3",2,JMS Ingenieros Consultores,Gerente General,#s.i.,#s.i.,Concepción,7,8,,,,,
10376,"Ingeniero Civil Agrícola ,Diploma en Ingeniería hidráulica y ambiental","1,2","Universidad de Concepción,Universidad de Concepción","ch,ch","Cultivation of Land, Horticulture,Civil Engineering","1,3",4,Asociación Canal Bío Bío Negrete,Director,#s.i.,#s.i.,Negrete,9,8,,,,,
10382,Ingeniero Civil Hidráulico,1,Universidad de Chile,ch,Civil Engineering,3,2,ICASS Consultoría en Recursos Hídricos,Ingeniero de Proyectos,#s.i.,#s.i.,Santiago,1,14,,,,,
10394,"Ingeniero Civil,Máster en Ciencias de la Ingeniería: mención Recursos y medioambiente hídrico","1,3","Universidad de Chile,Universidad de Chile","ch,ch","Civil Engineering,Hydrology","3,4",2,Hidromas,Socio,#s.i.,#s.i.,Santiago,1,14,,,,,
10397,Ingeniero Civil Industrial,1,Universidad de Chile,ch,--,3,4,Asociación Canal Maule,Gerente general,#s.i.,#s.i.,Talca,5,7,,,,,
10401,"Ingeniero Civil Hidráulico,Máster en Hidrología General y Aplicada","1,3","Universidad de Chile,Centro de Estudios y Experimentación de Obras Públicas (CEDEX)","ch,es","Civil Engineering,Hydrology","3,4",3,Ministerio de Obras Públicas,Directora Ejecutiva,Instituto Nacional de Hidráulica,#s.i.,Santiago,1,14,,,,,
10412,Ingeniero Civil Hidráulico,1,Pontificia Universidad Católica de Chile,ch,Civil Engineering,3,2,Gestión Integral de Aguas Ltda.,Gerente General,#s.i.,#s.i.,Santiago,1,14,,,,,
10415,Ingeniero Civil,1,Universidad de Chile,ch,Civil Engineering,3,2,EDIC Ingenieros,Gerente General,#s.i.,#s.i.,Santiago,1,14,,,,,
10418,"Máster en Desarrollo y Comportamiento Organizacional,Geógrafo","3,1",Pontificia Universidad Católica de Chile,ch,"Other Social Sciences,Human Geography, Regional Geography, Regional Planning","2,2",3,Ministerio de Agricultura,Jefe División,Comisión Nacional de Riego,División de Estudios y Desarrollo,Santiago,1,14,,,,,
10423,"Máster en Ingeniería de regadíos,Ingeniero Civil Hidráulico,Máster en Hidrología General y Aplicada","3,1,3","Instituto de Hidrología de Madrid,Pontificia Universidad Católica de Chile,Instituto de Hidrología de Madrid","es,ch,es","Cultivation of Land, Horticulture,Civil Engineering,Hydrology","1,3,4",3,Ministerio de Obras Públicas,Jefe Departamento,Dirección de Obras Hidráulicas,Departamento Nacional de Proyectos de Cauce y Drenaje Urbano,Santiago,1,14,,,,,
10426,Ingeniero Civil Agrícola,1,,#N/A,"Cultivation of Land, Horticulture",1,3,Ministerio de Agricultura,Revisor de proyectos,Comisión Nacional de Riego,#s.i.,Chillán,3,14,,,,,
10437,"Máster en Ciencias,Licenciado en Biología,Doctor en Ciencias: mención Ecología","3,1,4","Universidad de Chile,Universidad de Chile","ch,ch","--,Biology,Biology","4,4,4",2,Centro de Ecología Aplicada,Director Ejecutivo,#s.i.,#s.i.,Santiago,1,14,,,,,
10439,"Abogado,Diplomado en Planificación Tributaria","1,2","Pontificia Universidad Católica de Chile,Universidad de Chile","ch,ch","Law,Economics","2,2",2,Hertz Goldsack Abogados,Socio Fundador,#s.i.,#s.i.,Santiago,1,14,,,,,
10440,"Máster en Economía,Ingeniería Civil: mención en Recursos Hídricos,Doctor en Economía Política y Política Pública","3,1,4","University of Southern California,Universidad Técnica Federico Santa María,University of Southern California","usa,ch,usa","Economics,Hydrology,Economics","2,4,2",2,"INGEL, Ingeniería y Servicios a la Minería e Industria",Director,#s.i.,#s.i.,Antofagasta,10,2,,,,,
10442,"Ingeniero Civil: mención Hidráulica y Sanitaria,Doctor en Ciencias Ambientales","1,4","Universidad de Concepción,Universidad de Concepción","ch,ch","Civil Engineering,Environmental Engineering","3,3",3,Corporación de Fomento de la Producción,Gerente,Área Capacidades Tecnológicas,#s.i.,Santiago,1,14,,,,,
10455,"Geógrafo,Máster en Sociología","1,3",Pontificia Universidad Católica de Chile,ch,"Human Geography, Regional Geography, Regional Planning,Sociology","2,2",4,Casa de la Paz,Directora Ejecutiva,#s.i.,#s.i.,Santiago,1,14,,,,,
10456,Abogado,1,Universidad Gabriela Mistral,ch,Law,2,2,Derecho e Ingeniería del Agua Consultores,Abogado,#s.i.,#s.i.,Santiago,1,14,,,,,
10460,"Diplomado en Innovación y Territorio,Ingeniero Comercial,Administrador Público, Ciencias Políticas y Gobierno,Diplomado Comunicación, Estrategia y Marketing Político","2,1,1,2","Universidad Politécnica de Valencia,Universidad Alberto Hurtado,Universidad Central de Chile,Universidad Autónoma de Barcelona","es,ch,ch,es","Economics,Economics,Political Science,Political Science","2,2,2,2",3,Ministerio de Obras Públicas,#s.i.,Dirección de Obras Hidráulicas,#s.i.,Santiago,1,14,,,,,
10463,Ingeniero Civil Hidráulico,1,Universidad de Chile,ch,Civil Engineering,3,3,Ministerio de Obras Públicas,Encargada Área,Dirección General de Aguas,Área Cultura y Educación del Agua,Santiago,1,14,,,,,
10466,Geólogo,1,Universidad de Chile,ch,"Geology, Mineralogy",4,3,Ministerio de Minería,Jefe Unidad,Servicio Nacional de Geología y Minería,Unidad de Hidrogeología,Santiago,1,14,,,,,
10474,Agrónomo,1,Pontificia Universidad Católica de Chile,ch,"Cultivation of Land, Horticulture",1,2,Federación de Productores de Fruta de Chile,Director regional,#s.i.,#s.i.,Santiago,1,14,,,,,
10477,"Licenciado en Geografía Física,Máster en Hidrología e Hidrogeoquímica","1,3","University of Winnipeg,University of Waterloo","ca,ca","Human Geography, Regional Geography, Regional Planning,Hydrology","2,4",2,ICASS Consultoría en Recursos Hídricos,Hidrogeólogo de Proyectos,#s.i.,#s.i.,Santiago,1,14,,,,,
10491,Ingeniero Civil,1,Universidad de La Serena,ch,Civil Engineering,3,3,Ministerio de Obras Públicas,Jefe,Dirección de Obras Hidráulicas,Departamento de Proyectos de Riego,Santiago,1,14,,,,,
10494,"Ingeniero Civil: mención en Hidráulica,Máster en Ingeniería Ambiental","1,3","Universidad de Chile,University of Illinois at Urbana-Champaign","ch,usa","Civil Engineering,Environmental Engineering","3,3",2,Hidrogeología y Medio Ambiente Sustentable,Socio Principal,#s.i.,#s.i.,Santiago,1,14,,,,,
10497,"Diplomado en Hidroelectricidad Sustentable,Ingeniero Civil Hidráulico,Diplomado en Hidrogeología","2,1,2","Universidad de Concepción,Pontificia Universidad Católica de Chile,Universidad de Chile","ch,ch,ch","Hydrology,Civil Engineering,Hydrology","4,3,4",2,MEV Ingeniería y Gestión de Aguas,Gerente General,#s.i.,#s.i.,Santiago,1,14,,,,,
10505,"Máster en Economía,Doctor en Economía de Recursos Naturales","3,4","Universidad de Wurzburg,University of Cambridge","al,uk","Economics,Economics","2,2",3,Ministerio de Energía,Jefe División,División de Desarrollo Sustentable,#s.i.,Santiago,1,14,,,,,
10526,"Diplomado en Economía,Abogado,Diplomado en Derecho de Recursos Naturales","2,1,2","Universidad de Chile,Universidad de Chile,Pontificia Universidad Católica de Chile","ch,ch,ch","Economics,Law,Law","2,2,2",2,Derecho e Ingeniería del Agua Consultores,Director Ejecutivo,#s.i.,#s.i.,Santiago,1,14,,,,,
10534,"Máster en Ciencias Microbiología Acuática,Ingeniero en Acuicultura,Doctor en Microbiología Molecular Acuática","3,1,4","Universidad de Kyoto,Universidad de Antofagasta,Universidad de Kyoto","ja,ch,ja","Biology,Agriculture and Forestry, Fishery not elsewhere classified,Biology","4,1,4",2,Agua Marina,Gerente General,#s.i.,#s.i.,Antofagasta,10,2,,,,,
10537,Ingeniero Civil Hidráulico,1,Universidad de Grenoble,fr,Civil Engineering,3,2,Rhodos,Gerente de Proyectos,#s.i.,#s.i.,Santiago,1,14,,,,,
10546,"Ingeniero Forestal,Máster en Ciencias: mención en Recursos Hídricos","1,3","Universidad Austral de Chile,Universidad Austral de Chile","ch,ch","Forestry and Wood Industry,Hydrology","1,4",2,Riparia,Gerente,#s.i.,#s.i.,Osorno,11,11,,,,,
10548,"Profesor de Biología y Ciencias Naturales,Doctor en Ciencias Biológicas","1,4","Universidad Metropolitana de Ciencias de la Educación,Universidad Autónoma de Madrid","ch,es","Biology,Biology","4,4",3,Ministerio de Medio Ambiente,Jefe Departamento,División de Recursos Naturales y Biodiversidad,Departamento Recursos Hídricos y Ecosistemas Acuáticos,Santiago,1,14,,,,,
10558,"Ingeniero Civil,Máster en Ciencias de la Ingeniería","1,3","Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile","ch,ch","Civil Engineering,--","3,3",2,Empresa Concesionaria de Servicios Sanitarios S.A.,Director,#s.i.,#s.i.,Santiago,1,14,,,,,
10567,"Ingeniero Civil,Máster en Ciencias","1,3","Universidad de Chile,University of Strathclyde","ch,uk","Civil Engineering,--","3,4",3,"Comisión Nacional de Investigación, Ciencia y Tecnología",Panelista,Fondef,"Comité Agua, Energía e Infraestrutura",Santiago,1,14,,,,,
10569,Ingeniero Civil: mención Hidráulica,1,Universidad de Chile,ch,Civil Engineering,3,2,CONIC-BF Ingenieros Civiles Consultores,Gerente General,#s.i.,#s.i.,Santiago,1,14,,,,,
10570,"Ingeniero Agrónomo,Máster en Ciencias: mención en Riego y Drenaje de Suelos Agrícolas","1,3","Universidad de Chile,Universidad de Los Andes","ch,ve","Cultivation of Land, Horticulture,Forestry and Wood Industry","1,1",3,Ministerio de Agricultura,Investigador,Instituto de Investigaciones Agropecuarias,Programa Riego y Drenaje (CRI),Santiago,1,14,,,,,
10572,Ingeniero Civil Sanitario,1,Universidad de Chile,ch,Civil Engineering,3,3,Ministerio de Obras Públicas,Director Nacional,Dirección de Obras Hidráulicas,#s.i.,Santiago,1,14,,,,,
10573,"Máster en Ciencias Sociales,Ingeniero Comercial,Doctor en Economía","3,1,4","University of Birmingham,Universidad de Chile,University of Birmingham","uk,ch,uk","Sociology,Economics,Economics","2,2,2",3,Ministerio del Interior,Delegado Presidencial para los Recursos Hídricos,#s.i.,#s.i.,Santiago,1,14,,,,,
10576,"Ingeniero Civil: mención Hidraulica,Máster en Recursos y Medio Ambiente Hídrico","1,3",,#N/A,"Civil Engineering,Hydrology","3,4",2,Empresa Nacional de Electricidad,Jefe de Grupo,Grupo de Estudios Hidrológicos,#s.i.,Santiago,1,14,,,,,
10583,"Máster en Ingeniería Ambiental,Ingeniero Ambiental,Doctor en Ingeniería Ambiental y Recursos Hídricos","3,1,4","University of London,#s.i.,University of London","in,in,in","Environmental Engineering,Environmental Engineering,Hydrology","3,3,4",2,Gutteridge Haskins & Davey,Consultor,#s.i.,#s.i.,Santiago,1,14,,,,,
10584,Ingeniero Civil,1,Universidad de Chile,ch,Civil Engineering,3,2,SKM Chile,Gerente,#s.i.,#s.i.,Santiago,1,14,,,,,
10599,"Ingeniero Civil: mención Hidráulica, Sanitaria y Ambiental,Máster en Ciencias de la Ingeniería, Recursos y Medio Ambiente Hídrico","1,3","Universidad de Chile,Universidad de Chile","ch,ch","Civil Engineering,Hydrology","3,4",2,Eridanus,Socio Director,#s.i.,#s.i.,Santiago,1,14,,,,,
