ID_investigadores,grado_rec,categoria,institucion_estudio,pais_rec,ofos4,ofos1_rec,ambito_trabajo,institución_trabaja,cargo,unidad1,unidad2,ciudad_trabaja,ciudad_trabaja_rec,region_trabaja,numero_publicaciones,numero_publicaciones_wos,Citaciones,impacto_autor,ofos_1
25927809900,"Ingeniero Civil,Doctor en Ingeniería Civil","1,4","Universidad de Concepción,University of Idaho","ch,usa","Civil Engineering,Civil Engineering","3,3",1,Universidad Católica de la Santísima Concepción,Académico,Facultad de Ingeniería,Departamento de Ingeniería Civil,Concepción,7,8,3,3,41,0.61,4
26024618900,"Máster en Ingeniería, Hidrología y Recursos Hídricos,Ingeniero Civil,Doctor en Ingeniería, Hidrología y Recursos Hídricos","3,1,4","Universidad de Chile,Universidad de Chile,University of Melbourne","ch,ch,aus","Hydrology,Civil Engineering,Hydrology","4,3,4",1,Universidad de Chile,Investigador Postdoctoral,Centro de Ciencia del Clima y la Resiliencia,#s.i.,Santiago,1,14,1,1,11,3.48,4
26025227500,"Máster en Ingeniería Eléctrica,Ingeniero Civil Eléctrico,Doctor en Ingeniería Informática","3,1,4","Universidad de Concepción,Universidad de Concepción,Universidad Politécnica de Madrid","ch,ch,es","Electrical Engineering, Electronics, Information Engineering,Electrical Engineering, Electronics, Information Engineering,Computer Sciences","3,3,4",1,Universidad de Concepción,Profesor titular,Facultad de Ingeniería Agrícola,Departamento de Mecanización y Energía,Chillán,3,8,3,2,4,1.77,3
26040903300,"Ingeniero en Hidráulica Sanitaria y Ambiental,Doctorado en Fluidodinámica","1,4","Universidad de Chile,Universidad de Chile","ch,ch","Civil Engineering,Physics, Astronomy","3,4",1,Universidad de Chile,#s.i.,Facultad de Ciencias Físicas y Matemáticas,Departamento de Ingeniería Civil,Santiago,1,14,2,2,8,6.84,3
26326508000,Ingeniero Forestal,1,Universidad de Chile,ch,Forestry and Wood Industry,1,1,Centro del Agua para Zonas Áridas de América Latina y el Caribe,Asesor científico,#s.i.,#s.i.,La Serena,4,4,5,5,29,10.31,4
26431392800,"Ingeniero Acuícola,Doctor en Ciencias Forestales","1,4","Universidad Austral de Chile,Universidad Austral de Chile","ch,ch","Agriculture and Forestry, Fishery not elsewhere classified,Forestry and Wood Industry","1,1",1,Universidad de Concepción,Académico,Facultad de Ciencias Forestales,Departamento de Manejo de Bosques y Medio Ambiente,Concepción,7,8,1,0,5,3.51,
26432310200,"Máster en Ciencias Biomédicas: mención en microbiología,Biólogo Marino","3,1","Universidad de Talca,Universidad Católica de la Santísima Concepción","ch,ch","Biology,Biology","4,4",1,Universidad Católica de la Santísima Concepción,Docente Asociado,Facultad de Ciencias,#s.i.,Concepción,7,8,1,1,6,1.12,4
33568256900,"Ingeniero Agrónomo,Doctor en Ciencias Agrarias","1,4","Universidad de Talca,Universidad de Talca","ch,ch","Cultivation of Land, Horticulture,Cultivation of Land, Horticulture","1,1",1,Pontificia Universidad Católica de Valparaíso,Profesor,Facultad de Ciencias Agronómicas y de los Suelos,Escuela de Agronomía,Valparaíso,6,5,3,1,42,4.78,4
34768062200,"Máster en Protección Ambiental,Doctor en Ciencias Agrícolas","3,4","Universidad Técnica de Lublin,Universidad de Cristian Albrechts de Kiel","po,al","Interdisciplinary Geosciences,Cultivation of Land, Horticulture","4,1",1,Universidad Austral de Chile,Profesor Adjunto,Facultad de Ciencias Agrarias,Instituto de Ingeniería Agraria y Suelos,Valdivia,17,10,1,1,10,2.9,1
35097125400,"Máster en Tecnología Ambiental,Licenciado en Química,Doctor en Ciencias Ambientales","3,1,4","Imperial College London,Universidad Aristotélica de Tesalónica,Universidad Autónoma de Barcelona","uk,gre,es","Environmental Engineering,Chemistry,Environmental Engineering","3,4,3",1,Universidad de Chile,Profesor Titular,Facultad de Arquitectura y Urbanismo,Departamento de Geografía,Santiago,1,14,1,1,11,3.63,2
35108881700,"Ingeniero Civil Agrícola ,Doctor en Ciencias Agrícolas","1,4","Universidad de Concepción,Universidad de Concepción","ch,ch","Cultivation of Land, Horticulture,Cultivation of Land, Horticulture","1,1",1,Universidad de Concepción,Director General,Centro del Agua para la Agricultura,#s.i.,San Fernando,23,8,1,0,1,0,1
35109202300,"Máster en Ciencias,Ingeniero Civil: mención en Manejo de Recursos Hídricos,Doctor en Recursos Hídricos y Medioambiente","3,1,4","Universidad de Stuttgart,Universidad Aplicada de Aquisgrán,Universidad de Stuttgart","al,al,al","--,Hydrology,Hydrology","4,4,4",1,Centro de Estudios Avanzados en Zonas Áridas,Investigador asociado,#s.i.,#s.i.,La Serena,4,4,10,9,47,16.26,4
